"species","date_of_search","records_in_Hasui","records_in_gbif"
"Amazona brasiliensis",2020-07-21,56,719
"Amazona rhodocorytha",2020-07-21,60,1143
"Amazona vinacea",2020-07-21,80,1513
"Anabacerthia amaurotis",2020-07-21,227,1488
"Anabacerthia lichtensteini",2020-07-21,199,4307
"Anabazenops fuscus",2020-07-21,245,3829
"Antilophia bokermanni",2020-07-21,2,282
"Arremon semitorquatus",2020-07-21,42,1787
"Automolus lammi",2020-07-21,24,149
"Automolus leucophthalmus",2020-07-21,735,9509
"Baryphthengus ruficapillus",2020-07-21,285,7439
"Buteogallus lacernulatus",2020-07-21,0,864
"Calyptura cristata",2020-07-21,7,38
"Campephilus robustus",2020-07-21,263,3840
"Carpornis cucullata",2020-07-21,215,3798
"Celeus tinnunculus",2020-07-21,0,0
"Chiroxiphia caudata",2020-07-21,1313,23072
"Cichlocolaptes leucophrus",2020-07-21,187,2678
"Cichlocolaptes mazarbarnetti",2020-07-21,0,16
"Conopophaga cearae",2020-07-21,4,557
"Cotinga maculata",2020-07-21,16,189
"Cranioleuca pallida",2020-07-21,355,8681
"Cyanocorax coeruleus",2020-07-21,0,0
"Drymophila ferruginea",2020-07-21,284,6559
"Drymophila genei",2020-07-21,79,1422
"Drymophila malura",2020-07-21,286,3802
"Drymophila ochropyga",2020-07-21,333,2858
"Drymophila rubricollis",2020-07-21,122,2604
"Dysithamnus plumbeus",2020-07-21,55,385
"Dysithamnus xanthopterus",2020-07-21,79,1157
"Eleoscytalopus psychopompus",2020-07-21,3,80
"Glaucidium minutissimum",2020-07-21,62,1706
"Glaucidium mooreorum",2020-07-21,2,0
"Glaucis dohrnii",2020-07-21,29,401
"Haplospiza unicolor",2020-07-21,383,2694
"Heliobletus contaminatus",2020-07-21,269,2928
"Hemitriccus diops",2020-07-21,252,3667
"Hemitriccus obsoletus",2020-07-21,121,1296
"Hemitriccus orbitatus",2020-07-21,414,2630
"Hylatomus galeatus",2020-07-21,0,0
"Hypoedaleus guttatus",2020-07-21,206,0
"Ilicura militaris",2020-07-21,346,5820
"Jacamaralcyon tridactyla",2020-07-21,18,550
"Laniisoma elegans",2020-07-21,102,321
"Leptodon forbesi",2020-07-21,0,236
"Lipaugus ater",2020-07-21,22,0
"Lipaugus conditus",2020-07-21,3,0
"Lipaugus lanioides",2020-07-21,131,1619
"Machaeropterus regulus",2020-07-21,41,2403
"Merulaxis ater",2020-07-21,158,1942
"Mionectes rufiventris",2020-07-21,609,5688
"Mitu mitu",2020-07-21,0,192
"Myrmoderus loricatus ",2020-07-21,0,0
"Myrmotherula minor",2020-07-21,122,558
"Myrmotherula snowi",2020-07-21,27,88
"Myrmotherula unicolor",2020-07-21,197,2631
"Myrmotherula urosticta",2020-07-21,72,421
"Nemosia rourei",2020-07-21,10,43
"Neopelma aurifrons",2020-07-21,116,251
"Neopelma chrysolophum",2020-07-21,120,1681
"Notharchus swainsoni",2020-07-21,19,1219
"Odontophorus capueira",2020-07-21,261,3416
"Onychorhynchus swainsoni",2020-07-21,66,0
"Phacellodomus erythrophthalmus",2020-07-21,60,3137
"Phaethornis eurynome",2020-07-21,416,8954
"Phaethornis idaliae",2020-07-21,22,467
"Phaethornis squalidus",2020-07-21,101,1838
"Philydor atricapillus",2020-07-21,383,4988
"Philydor novaesi",2020-07-21,0,41
"Phyllomyias virescens",2020-07-21,78,2105
"Phylloscartes beckeri",2020-07-21,12,201
"Phylloscartes ceciliae",2020-07-21,0,282
"Phylloscartes difficilis",2020-07-21,83,1418
"Phylloscartes oustaleti",2020-07-21,164,1798
"Phylloscartes paulista",2020-07-21,102,1504
"Phylloscartes sylviolus",2020-07-21,48,1071
"Piculus aurulentus",2020-07-21,178,3396
"Picumnus temminckii",2020-07-21,279,10378
"Piprites pileata",2020-07-21,36,868
"Platyrinchus leucoryphus",2020-07-21,91,417
"Pogonotriccus eximius",2020-07-21,0,0
"Procnias nudicollis",2020-07-21,394,7537
"Pseudastur polionotus",2020-07-21,76,1036
"Pteroglossus bailloni",2020-07-21,147,2477
"Pyriglena atra",2020-07-21,21,175
"Pyrrhura cruentata",2020-07-21,29,935
"Pyrrhura griseipectus",2020-07-21,0,376
"Ramphodon naevius",2020-07-21,169,5944
"Rhopias gularis",2020-07-21,297,5227
"Saltator fuliginosus",2020-07-21,327,4040
"Saltator maxillosus",2020-07-21,57,1656
"Schiffornis virescens",2020-07-21,667,9948
"Sclerurus cearensis",2020-07-21,0,0
"Sclerurus scansor",2020-07-21,447,4075
"Scytalopus gonzagaiÂ ",2020-07-21,0,0
"Scytalopus pachecoi",2020-07-21,0,699
"Scytalopus speluncae",2020-07-21,165,2980
"Selenidera maculirostris",2020-07-21,155,3610
"Terenura maculata",2020-07-21,145,6094
"Terenura sicki",2020-07-21,6,270
"Thamnophilus ambiguus",2020-07-21,43,2732
"Thlypopsis pyrrhocoma",2020-07-21,0,2214
"Tinamus solitarius",2020-07-21,239,3719
"Touit melanonotus",2020-07-21,38,429
"Touit surdus",2020-07-21,43,727
"Trogon aurantius",2020-07-21,0,7
"Xipholena atropurpurea",2020-07-21,22,602
